Company_Brand,Sector,Main Sector,industry,Stage,Amount,HeadQuarter,What it does,Year,Founded,Founders,Investor,Years of Existence
Bijak,Agritech,Agritech,Agriculture,Seed fund,2500000.0,,B2B platform for agricultural commodities.,2019,2019,"Nukul Upadhye, Mahesh Jakhotia, Jitender Bedwal, Daya Rai, Nikhil Tripathi","Omnivore and Omidyar Network India, Sequoia Capital",0
Ecozen,Agritech,Agritech,Agriculture,Series A,6000000.0,Pune,It develops technology-enabled products to strengthen the farm-to-fork value chain of perishables.,2019,2016,"Devendra Gupta, Prateek Singhal, Vivek Pandey",Innovation in Food & Agriculture Fund (IFA Fund),3
Aqgromalin,Agritech,Agritech,Agriculture,,200000.0,Chennai,Cultivating Ideas for Profit,2020,2019,"Prasanna Manogaran, Bharani C L",Angel investors,1
Gramophone,Agritech,Agritech,Agriculture,,340000.0,Indore,Gramophone is an AgTech platform enabling access to agri inputs and powering efficient farm management.,2020,2016,"Ashish Rajan Singh, Harshit Gupta, Nishant Mahatre, Tauseef Khan","Siana Capital Management, Info Edge",4
qZense,Agritech,Agritech,Agriculture,Seed,600000.0,Bangalore,qZense Labs is building the next-generation IoT solution for fresh food quality assessment and management.,2020,2019,"Rubal Chib, Dr Srishti Batra","Venture Catalysts, 9Unicorns Accelerator Fund",1
Humus,Agritech,Agritech,Agriculture,,113866383.8,Bangalore,Farmgate to Retail outlet Agri-Fresh produce supply chain,2020,2019,"Manjunatha T N, Shilpa Gopalaiah","Venture Catalysts, 9Unicorns, We Founders Circle.",1
WayCool Foods,Agritech,Agritech,Agriculture,Debt,7800000.0,Chennai,"WayCool has adopted a tech-enabled supply chain approach to produce staples like rice, dairy, and value added products.",2020,2015,"Karthik Jayaraman, Sanjay Dasari","FMO, IndusInd Bank",5
MoooFarm,Agritech,Agritech,Agriculture,Pre-seed,500000.0,Gurugram,MoooFarm is an information technology company that bridges the technology gap to help marginalized dairy farmers.,2020,2019,"Param Singh, Aashna Singh, Abhijeet Mittal, Jitesh Arora","Navus Ventures, Rockstart",1
Freshokartz,Agritech,Agritech,Agriculture,Pre-series A,1000000.0,"Jaipur, Rajastan","Freshokartz provides soil data based crop and fertilisers recommendation to farmers and delivery seeds, pesticides",2020,2016,"Chandrakanta, Rajendra Lora","Rajasthan Venture Capital Fund, Innovana Thinklabs",4
Agrix,Agritech,Agritech,Agriculture,,113866383.8,Patna,"Farming-as-a-service (covering farm machinery and agri input services) and provides market linkages, especially for fragmented farm owners.",2020,2020,"Nilay Pandey, Saurav Singh, Vivek Kumar",Maple Capital Advisors,0
BharatAgri,Agritech,Agritech,Agriculture,Pre-series A,113866383.8,Pune,A Smart Farming Technology Platform for Indian Farmers,2020,2017,"Siddharth Dialani, Sai Gole","021 Capital, India Quotient",3
Unnati,Agritech,Agritech,Agriculture,Pre-series A,1700000.0,Noida,A helping hand to the farming community through Artificial Intelligence,2020,2017,"Amit Sinha, Ashok Prasad",NABVENTURES,3
AgroWave,Agritech,Agritech,Agriculture,,500000.0,Gurugram,Agrowave engages in transforming agriculture supply chain by connecting farms to businesses.,2020,2017,Anu Meena,Sekhar Puli,3
Farmers Fresh Zone,Agritech,Agritech,Agriculture,,470000.0,Kochi,FarmersFZ is an online venture for fresh and safe vegetables and agri products.,2020,2015,Pradeep PS,"Artha India Ventures, Nagaraja Prakasam",5
Fasal,Agritech,Agritech,Agriculture,,20000.0,Bangalore,Captures real-time data on crop growth conditions using on-farm sensors and delivers advisories to farmers in Indian languages,2020,2018,"Ananda Prakash Verma, Shailendra Tiwari","Omnivore, Zeroth.AI",2
BigHaat,Agritech,Agritech,Agriculture,Pre Series A,2000000.0,Bangalore,Agri-inputs ecommerce player,2020,2015,"Sateesh Nukala, SachinNandwana","Ankur Capital, Beyond Next Ventures",5
Vegrow,Agritech,Agritech,Agriculture,Seed Round,2500000.0,Bangalore,It is building an asset-light farm by partnering with small farms on a profit-sharing model,2020,2020,"Praneeth Kumar, Shobhit Jain, Mrudhukar Batchu, Kiran Naik","Matrix Partners India, Ankur Capital",0
Procol,Agritech,Agritech,Agriculture,,3823000.0,Delhi,Commodity procurement platform,2020,2018,"Gaurav Baheti, Sumit Mendiratta",Sequoia Surge,2
Brainwired,Agritech,Agritech,Agriculture,,113866383.8,Kerala,India?ÃÃs first livestock health monitoring company,2020,2018,"Sreeshankar S Nair, Romeo P Jerard","Kritik Abiram, Parthiv Rokadia, Gaurav Saraogi",2
Agro2o,Agritech,Agritech,Agriculture,,113866383.8,New Delhi,It develops products focused on making hydroponics-based farming,2020,2016,Yash Vyas,Mumbai Angels Network,4
Waycool,Agritech,Agritech,Agriculture,Series C,5500000.0,Chennai,Food development and distribution services,2020,2015,"Karthick Jayraman, Sanjay Dasari",Induslnd Bank,5
Crofarm,Agritech,Agritech,Agriculture,,1000000.0,Delhi,Supply chain that supports farmers and provides businesses with freshest produce,2020,2016,"Prashant Jain, Varun Khurana",Smile group,4
Eggoz,Agritech,Agritech,Agriculture,Seed Round,329000.0,Bihar,"Provides technology backed, deep integration services to egg farmers",2020,2017,Uttam Kumar,"Tracxn Labs, Angellist, Tri-Deep Capital",3
Clover,Agritech,Agritech,Agriculture,,920000.0,Bangalore,Provides agricultural solution to farmers working in the greenhouse production of vegetables and fruits,2020,2016,"Avinash BR, Gururaj Rao, Arvind Murali, Santhosh Narasipura",Alteria Capital,4
Bijak,Agritech,Agritech,Agriculture,Series A,12000000.0,Gurugram,"It is a platform that gives agricultural commodity at better prices, increased working capital, and optimised logistics",2020,2016,"Nukul Upadhye, Mahesh Jakhotia, Jitender Bedwal, Daya Rai, Nikhil Tripathi",RTP Global,4
Ergos,Agritech,Agritech,Agriculture,,4598000.0,Bangalore,It enables farmers to digitise their foodgrain and also provide access to supply chain solutions,2020,2016,"Kishor Jha, Praveen Kumar",Aavishkar Capital,4
Arya,Agritech,Agritech,Agriculture,Series B,6000000.0,Noida,Provides post-harvest services across the agricultural value chain,2020,2016,Prasanna Rao,LGT Lightstone Aspada,4
Clover,Agritech,Agritech,Agriculture,Series A,5500000.0,Bangalore,Provides agricultural solution to farmers working in the greenhouse production of vegetables and fruits,2020,2016,"Avinash BR, Gururaj Rao, Arvind Murali, Santhosh Narasipura","Omnivore, Accel Partners, Mayfield",4
Waycool,Agritech,Agritech,Agriculture,Series C,32000000.0,Chennai,Food development and distribution services,2020,2015,Karthick Jayraman and Sanjay Dasari,LightBox Ventures,5
Leap India,Agritech,Agritech,Agriculture,Series B,30000000.0,Coimbatore,Agricultural warehousing and logistics company,2020,2016,Narain Karthikeyan.,Neev Fund,4
Krimanshi,Agritech,Agritech,Agriculture,,20000.0,Jodhpur,Sustainable system to feed animals by valorizing food residues and surplus into highly nutritious feeds,2020,2016,Nikhil Bohra,Arunachal Pradesh Social Entrepreneurship Meet,4
Kisan Network,Agritech,Agritech,Agriculture,Seed Round,3000000.0,Gurugram,Integrated supply chain for farmers to sell their produce directly to buyers,2020,2015,"Aditya Agarwalla, Sanjay Agarwalla",Atsushi Taira,5
EF Polymer,Agritech,Agritech,Agriculture,,200000.0,Rajsamand,Sustainable Agriculture by creating sustainable inputs solution for agriculture to save water and fertilizer with enhancing yield.,2021,2018,Narayan Lal Gurjar,MTG Ventures,3
AgNext,Agritech,Agritech,Agriculture,Series A,21000000.0,Chandigarh,"AgNext is a fast-growing AgTech company that aims to solve quality and trust in food value chains by making them safer, transparent and fairer.",2021,2016,Taranjeet Singh Bhamra,Alpha Wave Incubation,5
Faarms,Agritech,Agritech,Agriculture,Seed,2000000.0,Bangalore,FAARMS?Ã¤Ã³ is a new age digital platform which aims to offer a one-stop solution to farmers.,2021,2020,"Taranbir Singh, Alok Duggal",,1
Aqgromalin,Agritech,Agritech,Agriculture,Seed,700000.0,Chennai,Aqgormalin is a tech driven farm diversification platform enabling farmers to diversify into Animal Husbandry and Aquaculture.,2021,2018,"Prasanna Manogaran, Bharani CL",Zephyr Peacock,3
Fyllo,Agritech,Agritech,Agriculture,Seed,400000.0,Bangalore,Fyllo brings farms on palms by installing on field devices and actions on top of this data.,2021,2019,"Sudhanshu Rai, Sumit Sheoran","Indian Angel Network, Titan Capital, Lead Angels",2
Superplum,Agritech,Agritech,Agriculture,Pre-series A,3800000.0,Noida,Building India's most sophisticated platform for high quality fresh food,2021,2019,Shobhit Gupta,Marquee investors,2
ReshaMandi,Agritech,Agritech,Agriculture,Seed,1700000.0,Bangalore,India's 1st award winning technology led digital ecosystem for Silk,2021,2020,Utkarsh Apoorva,"Omnivore, Strive Ventures",1
Gramophone,Agritech,Agritech,Agriculture,,10000000.0,Indore,"Create a difference in farming by bringing timely information, technology and right kind of inputs to achieve better yields for farmers.",2021,2016,"Tauseef Khan, Harshit Gupta",Z3Partners,5
BharatAgri,Agritech,Agritech,Agriculture,Series A,6500000.0,Bangalore,Provide personalized farm solution to the farmers. Only app to provide actionable insights based on weather changes.,2021,2017,"Sai Gole, Siddharth Dialani","Omnivore, India Quotient",4
InfyU Labs,Agritech,Agritech,Agriculture,Seed,200000.0,Gandhinagar,InfyU Labs is a team of dedicated professionals from various fields of engineering with a common goal of making chemical-free fruits and vegetables accessible to everyone.,2021,2019,"Amit Srivastava, Ankit Chauhan",IAN,2
WayCool,Agritech Startup,Agritech,Agriculture,Series C,5060000.0,Chennai,WayCool is a social enterprise positively impacting the lives of India's farmers,2020,2015,"Karthik Jayaraman, Sanjay Dasari","FMO, IndusInd Bank",5
Otipy,Agritech/Commerce,Agritech,Agriculture,Pre Series A,1000000.0,,Connects consumers with farmers thorugh women resellers,2020,2020,Varun Khanna,Inflection Point Ventures,0
Ninjacart,"Agtech, B2B, Supply Chain Management",Agritech,Agriculture,Series B,36500000.0,Bengaluru,Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,2018,2016,,,2
Ninjacart,B2B Agritech,Agritech,Agriculture,Series C,10000000.0,Bangalore,Online grocery delivery platform,2020,2015,"Thirukumaran Nagarajan, Sharath Loganathan, Sachin Jose, Kartheeswaran KK, Vasudevan Chinnathambi","Flipkart India, Singapore-based GEC3",5
TechnifyBiz,B2B Agritech,Agritech,Agriculture,Seed Round,2000000.0,,Online marketplace for non-perishable food items,2020,2017,"Akash Sharma, Abhishek Agarwal","Omnivore, Insitor Impact Asia Fund",3
Fireflies .ai,Ai,Ai,Technology,,5000000.0,,Developer of an artificial intelligence-powered assistant for businesses,2019,2016,Sam Udotong,Canaan Partners,3
Observe.AI,Ai,Ai,Technology,Series A,26000000.0,Bangalore,Creates a voice AI platform,2019,2016,Swapnil,Scale Venture Partners,3
Rephrase.ai,Ai,Ai,Technology,Seed,1500000.0,Bangalore,Rephrase.ai helps in creating high-quality videos and animations through an AI-powered visual dubbing tool.,2020,2018,"Ashray Malhotra, Nisheeth Lahoti, Shivam Mangla","Techstars Bangalore Accelerator, Techstars",2
The Money Club,Ai,Ai,Technology,,113866383.8,Delhi,AI based chit fund cashier app,2020,2016,"Manuraj Jain, Surajit Raj",Venture Catalysts,4
Verloop.io,Ai,Ai,Technology,,5000000.0,,Helps automate customer service using Artificial Intelligence,2020,2015,Gaurav Singh,Alpha Wave incubation,5
DaveAI,Ai,Ai,Technology,,113866383.8,Bangalore,Sales augmentation platform with a vision to democratise AI for enterprises,2020,2016,"Ananthakrishnan Gopal, Ashok Balasundaram, Sriram P H",Mumbai Angels Network,4
DocSumo,Ai,Ai,Technology,Seed round,220000.0,Mumbai,Platform helps to automate and analyse financial data,2020,2019,"Rushabh Sheth, Bikram Dahl","Better Capital, TechStars, Barclays.",1
Data Sutram,Ai,Ai,Technology,,266500.0,Kolkata,Platform gathers intel from external data to provide location-based data intelligence.,2020,2018,"Rajit Bhattacharya, Aisik Paul, Ankit Das","Uday Sodhi, Mitesh Shah, Nitin Jain",2
Wobot Intelligence,Ai,Ai,Technology,Pre Series A,2500000.0,Delhi,AI backed video analytics platform,2020,2016,"Adit Chhabra, Tapan Dixit,Tanay Dixit.",Sequoia Capital India,4
Inspektlabs,Ai,Ai,Technology,Pre series A,600000.0,Delhi,Focuses on building computer vision products for physical asset inspections,2020,2019,"Devesh Trivedi, Sanchit","Better Capital, Titan Capital",1
Drishti Technologies,Ai,Ai,Technology,Series B,25000000.0,Bangalore,"AI-based video analytics, data, and insights bring benefits to manufacturers",2020,2016,Prasad Akella,Sozo Ventures,4
Jiffy ai,Ai,Ai,Technology,Series A,18000000.0,,Enterprise automation startup,2020,2018,Babu Sivadasan,Nexus Venture Partners,2
Toch,Ai,Ai,Technology,Pre series A,1000000.0,Mumbai,"Helps online video creators, media companies, advertisers, and OTT platforms optimise their videos",2020,2016,"Vinayak Srivastav, Saket Dandotia, Alok Patil","Chinaccelerator, 9 Unicorns Fund, Inflection Point Ventures",4
Voicezen,Ai,Ai,Technology,,113866383.8,Gurugram,Conversational AI startup,2020,2016,Anurba Nath,Bharti Airtel,4
Spyne,Ai,Ai,Technology,Pre series A,113866383.8,Gurugram,Helps online businesses with visual content,2020,2016,"Sanjay Kumar, Deepti Prasad","Angellist, Smile Group, Manish Amin, Anil Goel, Anubhav Sonthalia, Deepak Mittal",4
Vernacular ai,Ai,Ai,Technology,Series A,5100000.0,Bangalore,It offers Multiligual AI platform,2020,2016,"Gupta, Akshay Deshraj, Manoj Sarda","Exfinity Ventures, IAN Fund",4
Expertrons,Ai,Ai,Technology,Seed Round,113866383.8,Mumbai,AI video bot platform for career hacks,2020,2016,"Vivek Gupta, Jatin Solanki","Nikhil Vora, Iceland Venture Studio, LetsVenture, Samyakth Capital",4
Yellow Messenger,Ai,Ai,Technology,Series B,20000000.0,Bangalore,It offers conversational chatbots,2020,2016,Raghavendra Kumar Ravinutala,"Lightspeed Venture Partners, Lightspeed India Partners.",4
Kristal AI,Ai,Ai,Technology,Series A,6000000.0,,Provides Algorithm-based financial services,2020,2016,"Asheesh Chanda, Vineeth Narasimhan",Chiratae Ventures,4
Keito,Ai,Ai,Technology,Seed Round,160000.0,Pune,Enterprise productivity startup,2020,2016,Amal PS,Suma Soft Pvt Ltd,4
Salesken,Ai & Data Science,Ai,Technology,Series A,8000000.0,Bangalore,Provides sales professionals with intelligence on various aspects of the sales pitch,2020,2016,"Sreeraman Vaidyanathan, Surga Thilakan",Sequoia India,4
Credgencies,Ai & Debt,Ai,Technology,Seed Round,113866383.8,,Tech-enabled platform for resolution of non-performing assets,2020,2018,"Rishabh Goel, Anand Agrawal, Mayank Khera",Titan Capital,2
CamCom,Ai & Deep Learning,Ai,Technology,,113866383.8,Bangalore,AI automation platform for enterprise quality control,2020,2017,"Ajith Nayar, Umesh, Mahesh Subramanian","Triton Investment Advisors,",3
Flick Stree,Ai & Media,Ai,Technology,Series A,3000000.0,Mumbai,Artificial intelligence-based video publishing network,2020,2016,Saurabh Singh,Samsung Venture Investment,4
Quantiphi,Ai & Tech,Ai,Technology,Series A,20000000.0,,It is an AI and big data services company providing business solutions.,2019,2016,Renuka Ramnath,Multiples Alternate Asset Management,3
LimeChat,Ai Chatbot,Ai,Technology,Seed,7500000.0,"Faridabad, Haryana",Limechat provides a personalised shopping experience for D2C companies on chat platforms using L3 conversational AI.,2021,2020,"Aniket Bajpai, Nikhil Gupta","Stellaris Venture Partners, Ramakant Sharma",1
Shipsy,Ai Company,Ai,Technology,Series A,6000000.0,Gurugram,Shipsy's platform enables data driven decision making enhancing visibility and operational efficiency for Supply Chain industry,2020,2015,"Dhruv Agrawal, Himanshu Gupta, Soham Chokshi","DTDC, Udaan Angel Partners",5
The Health company,Ai Health,Ai,Technology,,350000.0,Gurugram,Organic superfoods & free personal health coaching that actually work.,2020,2018,"Devansh Jain Nawal, Ackshay Jain","VCATS, First Cheque, 9Unicorns, Marquee investors",2
Signzy,Ai Platform,Ai,Technology,,3000000.0,Bangalore,Signzy are creating 'building blocks for a Digital Trust system.,2020,2015,"Ankit Ratan, Ankur Pandey, Arpit Ratan","Stellaris Venture Partners, Mastercard",5
Entropik,Ai Platform,Ai,Technology,Series A,8000000.0,Bangalore,Gain insights into human emotions with AI-powered platform affect lab.,2020,2016,Ranjan Kumar,"IDFC-Parampara Fund, Bharat Innovation Fund",4
Invento Robotics,Ai Robotics,Ai,Technology,Seed Round,281300.0,,Known for Mitra Series of Robots,2020,2016,"Balaji Viswanathan, Be Limitless Inc., Zingfin.com, NalandaU","Windrose Capital, ITI Growth Opportunities Venture Fund",4
Glance,Ai Startup,Ai,Technology,,145000000.0,Bangalore,Glance is a screen zero platform that consumers use across connected devices to experience the Internet.,2020,2016,Naveen Tewari,Mithril Capital Management.,4
GeoIQ,Ai Startup,Ai,Technology,Seed,300000.0,Bangalore,"Map-based intelligent platform with single-click access to street-level location data - demographics, competitions, movements - for retail.",2020,2018,"Devashish Fuloria, Tusheet Shrivastava, Ankita Thakur","Ankur Mittal, Mitesh Shah",2
SignalX,Ai Startup,Ai,Technology,Seed,800000.0,Hyderabad,SignalX offers an artificial intelligence-powered SaaS platform,2020,2018,"Govind Balachandran, Zakir Wahab, Piyush Arora","9Unicorns, 3Lines VC, Hyderabad Angels",2
Instoried,Ai Startup,Ai,Technology,Pre-series A,1000000.0,Bangalore,Instoried is an augmented writing platform which improves customer interest and engagement.,2020,2018,"Sharmin Ali, Sutanshu Raj","Venture Catalysts, SOSV",2
Leena AI,Ai Startup,Ai,Technology,,8000000.0,"New York, United States",Leena AI offers a human resource management platform that transforms employee experience with conversational AI.,2020,2015,"Adit Jain, Anand Prajapati, Mayank Goyal","Alan Patricof, Jim Moffatt",5
Fedo,Ai Startup,Ai,Technology,,1000000.0,Bangalore,Artificial Intelligence based Credit Score for Health,2020,2017,"Arun Mallavarapu, Prasanth Madavana",AIM Smart City,3
Ketos,Ai Startup,Ai,Technology,,18000000.0,"San Francisco, United States",KETOS provides hardware and software analytics solutions and real-time data for usage and flow across water systems.,2020,2015,Meena Sankaran,"Citi Ventures, Illuminated Funds Group",5
Tekion,Ai Startup,Ai,Technology,Series C,150000000.0,"San Ramon, California",It is a cloud-built platform with advanced machine learning and AI capabilities for a personalized and seamless consumer experience.,2020,2016,"Guru Sankararaman, Jay Vijayan","Alliance Ventures, Storm Ventures",4
Miko,Ai Startup,Ai,Technology,Pre-series B,3000000.0,Mumbai,"Miko is an advanced robotics startup founded by three IIT Bombay post-graduates on the pillars of robotics, AI & IoT.",2020,2015,"Chintan Raikar, Prashant Iyengar, Sneh Vaswani","Stride Ventures, YourNest Venture Capital",5
Genrobotics,Ai Startup,Ai,Technology,,300000.0,"Trivandrum, Kerala, India",GenRobotic specializes in powered robotic exoskeletons with RC controlled humanoid robotic systems and Artificial Intelligence.,2020,2015,"Arun George, Nikhil NP, Rashid Bin Abdulla, Vimal Govind MK",Unicorn India Ventures,5
Invento,Ai Startup,Ai,Technology,,113866383.8,Bangalore,Invento Robotics specializes in developing service robots intended for customer interactions.,2020,2016,"Balaji Viswanathan, Bharat Kumar, Mahalakshmi Radhakrishnan","Chiripal Group, Ratish Kumar Nair",4
DeepSync,Ai Startup,Ai,Technology,,136000.0,Chandigarh,"A revolutionary way to record your content, without you really speaking",2020,2018,"Ishan Sharma, Rishikesh","Grand Anicut Angel Fund (GAAF), AL Trust, Beeline Impex Private Limited, 9Unicorns, Accelerator Fund",2
Unbox Robotics,Ai Startup,Ai,Technology,Pre-series A,1200000.0,Bangalore,"Unbox Robotics builds on-demand AI-driven warehouse robotics solutions, which can be deployed using limited foot-print, time, and capital.",2021,2019,"Pramod Ghadge, Shahid Memon","BEENEXT, Entrepreneur First",2
UptimeAI,Ai Startup,Ai,Technology,Seed,1500000.0,Bangalore,"Enable true digital transformation with AI driven insights, to enable manufacturers stay ten steps ahead of process inefficiencies and equipment failures",2021,2016,"Jagadish Gattu, Vamsi Yalamanchili",YourNest Venture Capital,5
NeoDove,Ai Startup,Ai,Technology,Seed,15000000.0,Jaipur,"Neodove is an AI-powered, end to end tech-enabled customer communication and reporting solution.",2021,2020,Aprit Khandelwal,India Quotient,1
Enthu.ai,Ai Startup,Ai,Technology,,200000.0,Chandigarh,Enthu.AI operates as a conversation intelligence startup.,2021,2020,"Tushar Jain, Vishal Verma",Appit Simple Infotek,1
Myelin Foundry,Ai Startup,Ai,Technology,Pre-series A,1000000.0,Bangalore,"Myelin Foundry is a deep tech product start-up transforming human experiences and industry outcomes by building Artificial Intelligence algorithms on video, voice, and sensor data, for consumer edge devices",2021,2019,"Gopichand Katragadda, Ganesh Suryanarayanan, Aditi Olemann",Beyond Next Ventures,2
SuperOps.ai,Ai Startup,Ai,Technology,Seed,3000000.0,Chennai,SuperOps.ai is an early stage startup in the MSP space.,2021,2020,"Arvind Parthiban, Jayakumar Karumbasalam","Ramakant Sharma, Elevation Capital",1
NicheAI,Artificial Intelligence,Ai,Technology,Angel,101098638.0252758,Hyderabad,Early stage Artificial Intelligence (AI) start up.,2018,2016,,,2
UnoTag,Artificial Intelligence,Ai,Technology,Pre-Seed,100000.0,Bangalore,SaaS to verify counterfeit,2018,2016,,,2
DheeYantra Research Labs,Artificial Intelligence,Ai,Technology,Seed,101098638.0252758,Bangalore,"DheeYantra is building a cognitive conversational chatbot platform by name ""dhee.ai"" for vernacular languages",2018,2016,,,2
Singularity Dynamics,Artificial Intelligence,Ai,Technology,Seed,101098638.0252758,Bengaluru,Singularity Dynamics is a Chip-design testing startup.,2018,2016,,,2
Tranzmeo,"Artificial Intelligence, Business Intelligence, Industrial Automation, Machine Learning",Ai,Technology,Pre-Seed,101098638.0252758,Cochin,Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,2018,2016,,,2
Racetrack,"Artificial Intelligence, Cloud Computing, Video",Ai,Technology,Seed,4993200.0,Bangalore,"Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",2018,2016,,,2
Entropik Technology,"Artificial Intelligence, Computer, Machine Learning",Ai,Technology,Seed,1100000.0,Bengaluru,The boundaries between Human and Machines are shrinking fast.,2018,2016,,,2
Mate Labs,"Artificial Intelligence, Machine Learning, Paas",Ai,Technology,Seed,550000.0,Bangalore,Mate Labs is a machine learning solutions platform for beginners.,2018,2016,,,2
Keito,"Artificial Intelligence, Machine Learning, Saas, Virtual Assistant",Ai,Technology,Seed,101098638.0252758,Pune,Building an Intelligent Digital Assistant.,2018,2016,,,2
Khidki,"Artificial Intelligence, Social",Ai,Technology,Seed,101098638.0252758,Bangalore,Vernacular Social Network Focused on Town Level Content and Interactions,2018,2016,,,2
Awifs,Co-Working,Ai,Technology,,5200000.0,Delhi,Provides office space solutions,2020,2015,Amit Ramani,"Bisque Limited, Link Investment Trust.",5
Cub McPaws,Ar Startup,Ar/Vr,Technology,Pre-series A,800000.0,Mumbai,Cub McPaws is a kids clothing brand.,2020,2018,"Shah, Abhay Bhat",Venture Catalysts,2
Plutomen,Ar Startup,Ar/Vr,Technology,,300000.0,Ahmadabad,Plutomen Technologies Pvt Ltd founded in Nov 2016 is recognized start-up by DIPP in the field of Emerging Technology.,2021,2016,Keyur Bhalavat,"GUSEC Seed Fund, DeVX Venture Fund",5
