Company_Brand,Sector,Main Sector,industry,Stage,Amount,HeadQuarter,What it does,Year,Founded,Founders,Investor
Cogoport,"Air Transportation, Freight Service, Logistics, Marine Transportation",Transport & Logistics,transport,Series A,6000000.0,Mumbai,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,2018,,,
PaisaDukan,Financial Services,Finance,finance,Seed,650000.0,Mumbai,A P2P lending marketplace platform,2018,,,
Sleepy Owl Coffee,Food and Beverage,food,food,Seed,511000.0,New Delhi,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",2018,,,
BlueJack,Autonomous Vehicles,Manufacturing,manufacturing,Seed,934400.0,Delhi,Delhi-based online used vehicles marketplace.,2018,,,
PregBuddy,"Enterprise Software, Health Care, Hospital, Parenting, Personal Health, SaaS",Health Care & Wellness,health,Seed,0.0,Bengaluru,PregBuddy is a smart connected care platform for expecting mothers.,2018,,,
AgNext Technologies,"Agriculture, Analytics, Big Data, Farming",Agritech,agriculture,Series A,0.0,Mohali,AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,2018,,,
Pando,"Logistics, Supply Chain Management",Transport & Logistics,transport,Seed,2000000.0,Chennai,A startup which digitizes logistics operations for Fortune 500 companies.,2018,,,
Mintifi,"Financial Services, Lending",Finance,finance,Seed,2000000.0,Mumbai,Online lending startup based in Mumbai.,2018,,,
Carcrew,"Automotive, Marketplace, Online Portals",E-Commerce,business,Seed,2000000.0,Mumbai,India's Online Auto Repair Marketplace,2018,,,
NicheAI,Artificial Intelligence,AI,technology,Angel,0.0,Hyderabad,Early stage Artificial Intelligence (AI) start up.,2018,,,
Chariot Tech,"Internet of Things, Telecommunications",Technology,technology,Seed,292000.0,New Delhi,Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,2018,,,
Ideal Insurance Brokers/ 121Policy.com,Insurance,finance,finance,Seed,1000000.0,Kolkata,Ideal Insurance Broking is one of the leaders in insurance broking domain.,2018,,,
Loanzen,Financial Services,Finance,finance,Seed,0.0,Bangalore,Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,2018,,,
Mojro Technologies,"Information Technology, Logistics, Supply Chain Management",Technology,technology,Seed,650000.0,Bengaluru,Mojro envisions to be the world's largest technology-enabled logistics platform.,2018,,,
Elemential,"Blockchain, Developer Tools, Enterprise Software",Technology,technology,Seed,1000000.0,Mumbai,"Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",2018,,,
Loadshare,"Industrial Automation, Logistics, Supply Chain Management",Technology,technology,Series A,5000000.0,Bengaluru,LoadShare is India’s fastest growing logistics company,2018,,,
Yumlane,"Food and Beverage, Food Delivery, Snack Food",food,food,Series A,4000000.0,Mumbai,Food startup Yumlane operated by QwikPik Technology,2018,,,
Kriger Campus,Education,Education,education,Seed,438000.0,New Delhi,A Education Start Up.,2018,,,
Pipa+Bella,"E-Commerce, Fashion, Jewelry, Retail",E-Commerce,business,Series A,1000000.0,Mumbai,Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,2018,,,
Kaleidofin,Financial Services,Finance,finance,Seed,2800000.0,Chennai,A fintech platform.,2018,,,
Chakr Innovation,Renewable Energy,Energy,Energy,Seed,0.0,New Delhi,Chakr has developed the world’s first retro-fit emission control device for diesel generators.,2018,,,
IndigoLearn,"E-Learning, Education",Edtech,education,Seed,150000.0,Hyderabad,India's the premier education destination catering to the needs of aspiring students of the CA community.,2018,,,
UClean,"Clean Energy, CleanTech, Laundry and Dry-cleaning",Energytech,Energy,Seed,584000.0,India,UClean is a tech enabled laundry service provider.,2018,,,
Coutloot,"E-Commerce, Fashion, Mobile",E-Commerce,business,Seed,1000000.0,Mumbai,The Fashion Re-commerce platform.,2018,,,
Letstrack,"Apps, Messaging, Navigation, Public Safety",ICT,technology,Seed,1700000.0,New Delhi,"Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",2018,,,
Pooltoo,Transportation,Transportation,transport,Seed,0.0,New Delhi,Pooltoo offers a premium ride sharing platform.,2018,,,
Finzy,"Financial Services, Lending",Finance,finance,Seed,1300000.0,Bangalore,finzy is the premier peer to peer lending solution in India.,2018,,,
Fitternity,"Fitness, Health Care, Wellness",Health Care & Wellness,health,Seed,2000000.0,Mumbai,India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,2018,,,
Keito,"Artificial Intelligence, Machine Learning, SaaS, Virtual Assistant",AI,technology,Seed,0.0,Pune,Building an Intelligent Digital Assistant.,2018,,,
Tolet for Students,Hospitality,"Travel, Tourism & Hospitality",hospitality,Seed,73000.0,Jodhpur,"Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",2018,,,
Chai Kings,"Food and Beverage, Tea",food,food,Seed,292000.0,Chennai,Chai Kings is a tea retail chain,2018,,,
Dainik Jagran,"Media and Entertainment, News, Outdoors",Entertainment,entertaintainment,Seed,584000.0,Kanpur,Dainik Jagran is a media and communications group.,2018,,,
Playtoome,"Broadcasting, Media and Entertainment, Music, Music Streaming, Video, Video Streaming",Entertainment,entertaintainment,Seed,292000.0,Bengaluru,Playtoome is a live entertainment destination,2018,,,
ONGO Framework,"B2B, Information Services, Information Technology",Technology,technology,Angel,1000000.0,Hyderabad,ONGO Framework is a B2B IT and digital solution provider.,2018,,,
Notesgen,"EdTech, Education, Enterprise Software, Peer to Peer",Edtech,education,Seed,182500.0,New Delhi,A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,2018,,,
Arogya MedTech,"Health Care, Medical",Health Care & Wellness,health,Seed,219000.0,Kolkata,Arogya MedTech is a Research & Development organization in Bio-Medical industry.,2018,,,
Propshop24,E-Commerce,E-Commerce,business,Seed,500000.0,Mumbai,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",2018,,,
myUpchar,"Health Care, Hospital, Wellness",Health Care & Wellness,health,Series A,5000000.0,New Delhi,To bring health issues to people in their language.,2018,,,
MissMalini Entertainment,"Media and Entertainment, News, Outdoors",Entertainment,Entertainment,Seed,1518400.0,Mumbai,"MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",2018,,,
Rooter,Sports,Sports & Fitness,sports,Seed,657000.0,India,Rooter is a mobile-based platform,2018,,,
ZestMoney,"Big Data, Consumer Lending, FinTech",Fintech,finance,Series A,13400000.0,Bangalore,Zest is India's first completely automated consumer digital lending platform.,2018,,,
alphaics Corporation,"Cloud Computing, Computer, Semiconductor",Technology,technology,Seed,0.0,Bengaluru,Advancing AI compute,2018,,,
MyDentistChoice,"Health Care, Medical, Pharmaceutical",Health Care & Wellness,health,Seed,500000.0,Hyderabad,MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,2018,,,
Sattviko,"Food Processing, Retail",food,food,Angel,0.0,New Delhi,Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,2018,,,
Sensibull,Trading Platform,E-Commerce,business,Seed,365000.0,Bangalore,Investment Management Platform,2018,,,
Bombay Shaving Company,"Consumer Goods, Lifestyle, Men's",Fashion & Lifestyle,Fashion & Lifestyle,Series A,0.0,New Delhi,Bombay Shaving Company is a Men's grooming startup,2018,,,
MedCords,Wellness,Health Care & Wellness,health,Seed,385440.0,Pune,Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,2018,,,
University Living,Education,Education,education,Seed,0.0,New Delhi,University Living is an online global student housing marketplace.,2018,,,
&ME,"Food and Beverage, Food Processing, Nutrition",food,food,Seed,0.0,Bangalore,Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,2018,,,
Enakshi,Fashion,Fashion & Lifestyle,Fashion & Lifestyle,Seed,116800.0,Ahmedabad,Enakshi is an online apparel brand for women.,2018,,,
Ultraviolette Automotive,"Automotive, Electric Vehicle, Energy Storage",Manufacturing,manufacturing,Series A,876.0,Bangalore,Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,2018,,,
Inthree Access,"Consulting, Retail, Social",Consultation,business,Series A,4000000.0,Chennai,Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,2018,,,
BUGWORKS Research India,"Biotechnology, Life Science, Pharmaceutical, Product Research",Biotech,biotech,Series A,9000000.0,Bangalore,BUGWORKS is a drug discovery company.,2018,,,
Guardian.in,Health Care,Health Care & Wellness,health,Seed,0.0,Mumbai,GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,2018,,,
PrestLoans,"Credit, Financial Services, FinTech, Personal Finance",Fintech,finance,Seed,100000.0,New Delhi,"PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",2018,,,
Wimoxez,Internet,Technology,technology,Seed,20000.0,Hyderabad,"Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",2018,,,
India Accelerator,"Communities, Coworking, Incubators",Business,business,Angel,0.0,Gurgaon,India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,2018,,,
HappyEMI,"Consumer, Financial Services, FinTech",Fintech,finance,Seed,1000000.0,Bangalore,HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,2018,,,
Wishup,"Consumer Applications, Information Services, Location Based Services, Virtual Assistant",Technology,technology,Seed,0.0,Azadpur,Premium Personal Assistance service,2018,,,
Hansel.io,"Mobile, Mobile Apps, Personalization, Test and Measurement, Web Apps",Technology,technology,Series A,4000000.0,Bangalore,"Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",2018,,,
Propelld,"Education, Financial Services, FinTech",Fintech,finance,Seed,250000.0,Bengaluru,Propelld is a student education financing platform.,2018,,,
PivotRoots,"Advertising, Consulting, Digital Marketing",Marketing & Communication,business,Series A,0.0,Mumbai,Digital Marketing powered by Data & Technology; fueled by Design thinking,2018,,,
ZiffyHomes,"Marketplace, Real Estate, Rental Property",Marketing & Communication,business,Seed,120000.0,New Delhi,ZiffyHomes is a technology driven marketplace to find out home on rent.,2018,,,
Carmesi,Health Care,Health Care & Wellness,health,Seed,496400.0,Gurgaon,Carmesi is a brand of high-end menstrual-hygiene products in India.,2018,,,
OckyPocky,"E-Learning, Internet, Video Games",Edtech,education,Angel,0.0,Haryana,OckyPocky is a interactive and personalised language learning app for preschool kids.,2018,,,
Racetrack,"Artificial Intelligence, Cloud Computing, Video",AI,technology,Seed,4993200.0,Bangalore,"Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",2018,,,
WHR,"Health Care, Information Technology",Healthtech,health,Seed,143145.0,Pune,"WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",2018,,,
Asteria Aerospace,Aerospace,Aerospace,aerospace,Seed,0.0,Bangalore,Asteria Aerospace is a robotics and artificial intelligence company.,2018,,,
FabAlley,"E-Commerce, Fashion, Lifestyle",E-Commerce,business,Series B,8760000.0,Noida,"FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",2018,,,
Tranzmeo,"Artificial Intelligence, Business Intelligence, Industrial Automation, Machine Learning",AI,technology,Pre-Seed,0.0,Cochin,Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,2018,,,
SBI Life,Insurance,finance,finance,Private Equity,742000000.0,Mumbai,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,2018,,,
Studds Accessories,E-Commerce,E-Commerce,business,Private Equity,14600000.0,Faridabad,Studds Accessories is a scooter accessories service provider in India,2018,,,
Design Cafe,"Home Decor, Home Improvement, Home Renovation, Home Services, Interior Design, Smart Home",Fashion & Lifestyle,Fashion & Lifestyle,Series B,29200000.0,Bengaluru,"Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",2018,,,
NoPaperForms Solutions Pvt. Ltd.,"EdTech, Education, Information Services, SaaS",Edtech,education,Series B,3980000.0,New Delhi,"NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",2018,,,
Rays Power Infra,"Energy, Solar",Energy,Energy,Venture - Series Unknown,29200000.0,Jaipur,Rays Power Infra is a leading integrated Solar Power Company.,2018,,,
AuthMetrik,"B2B, Biometrics, Cyber Security, Fraud Detection, SaaS, Security",Technology,technology,Grant,10000.0,Gurgaon,"SaaS, B2B, Security, Stop account sharing, Fraud Detection",2018,,,
Khidki,"Artificial Intelligence, Social",AI,technology,Seed,0.0,Bangalore,Vernacular Social Network Focused on Town Level Content and Interactions,2018,,,
LetsTransport,"Logistics, Transportation, Travel",Transport & Logistics,transport,Series B,14600000.0,Bangalore,Lets transport is a logistics solution provider.,2018,,,
Next Digital Solutions,"Digital Marketing, SEM, SEO, Web Development",Adtech,business,Angel,1460.0,Kota,Next Digital Solutions is website design & Digital Marketing development company.,2018,,,
Portea Medical,"Health Care, Hospital, Medical",Health Care & Wellness,health,Debt Financing,3650000.0,Bangalore,Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,2018,,,
Aavas Financiers,"Finance, Financial Services",Finance,finance,Post-IPO Debt,29200000.0,Jaipur,"Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",2018,,,
Swiggy,"Food Delivery, Food Processing, Internet",food,food,Series H,1000000000.0,Bangalore,Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,2018,,,
Milkbasket,"E-Commerce, Food and Beverage, Internet",E-Commerce,business,Series A,7000000.0,Haryana,"Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",2018,,,
Nutrisattva (Proliva),"Fitness, Food and Beverage, Health Care, Nutrition",Health Care & Wellness,health,Angel,0.0,Anand,Nutrisattva is a protein innovation compan,2018,,,
Toppr,"EdTech, Education, Knowledge Management",Edtech,education,Series C,35000000.0,Mumbai,Toppr.com is an online preparation platform for entrance exams in India.,2018,,,
Jagaran Microfin,Financial Services,Finance,finance,Debt Financing,8030000.0,Kolkata,Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,2018,,,
Vivriti Capital,Financial Services,Finance,finance,Venture - Series Unknown,28500000.0,Chennai,Vivriti Capital is an online platform for institutional debt in India.,2018,,,
Be U Salons,"Apps, Beauty, Consumer, Retail",E-Commerce,business,Seed,438000.0,New Delhi,Be U is India's first subscription based Salon Chain.,2018,,,
Impact Guru,"Creative Agency, Crowdfunding, EdTech, Health Care, Internet, Medical, Non Profit, Personal Health",Healthtech,health,Series A,2000000.0,Mumbai,"We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",2018,,,
MobiKwik,"Consumer Lending, Financial Services, FinTech, Insurance, Lending, Mobile Payments, Payments, Wealth Management",Fintech,finance,Series E,3504000.0,Gurgaon,MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,2018,,,
Stones2Milestones,"E-Learning, Education, Higher Education",Edtech,education,Seed,0.0,Gurgaon,Stones2milestones is a Gurgaon Based Learning Company.,2018,,,
Generico,"Health Care, Medical, Pharmaceutical",Health Care & Wellness,health,Series A,0.0,Mumbai,Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,2018,,,
Adiuvo Diagnostics,Health Diagnostics,Health Care & Wellness,health,Seed,0.0,Chennai,Adiuvo Diagnostics is a medical diagnostic device company based in India.,2018,,,
DataTrained,"EdTech, Education",Edtech,education,Seed,1752000.0,Bangalore,"DataTrained is a educational platform, which operates an ed-tech startup on data science",2018,,,
OneAssist,"Financial Services, SaaS, Security",Fintech,finance,Debt Financing,2400000.0,Mumbai,OneAssist is a protection & assistance services platform.,2018,,,
Satin Creditcare Network Limited (SCNL),"Banking, Finance, Financial Services, Non Profit",Finance,finance,Post-IPO Debt,30000000.0,New Delhi,Satin is a non-banking finance company providing individual loans to urban shopkeepers.,2018,,,
APAC Financial Services,"Finance, Financial Services",Finance,finance,Private Equity,36500000.0,Mumbai,APAC Financial Services is a financial services platform.,2018,,,
Moglix,"B2B, E-Commerce, Mobile",E-Commerce,business,Series C,23000000.0,Noida,"Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",2018,,,
SEDEMAC Mechatronics,"Automotive, Electric Vehicle, Renewable Energy",Manufacturing,manufacturing,Venture - Series Unknown,0.0,Mumbai,SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,2018,,,
MadGuy Labs,E-Learning,Edtech,education,Venture - Series Unknown,150000.0,Hyderabad,MadGuy Labs is a Online Test-prep Platform.,2018,,,
Dee Dee Labs,"Embedded Systems, Health Care, Medical, Product Research",Healthtech,health,Seed,0.0,Pune,Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,2018,,,
FLEECA,Manufacturing,Manufacturing,manufacturing,Seed,0.0,Jaipur,FLEECA is a Tyre Care Provider company.,2018,,,
Shop101,"Apps, E-Commerce, Internet",E-Commerce,business,Series B,11000000.0,Mumbai,#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,2018,,,
FeedMyPockets,"Advertising, Human Resources, Marketing",Business,business,Seed,642400.0,Bangalore City,On Demand Staffing Platform,2018,,,
Housejoy,"Beauty, Fitness, Home Services, Internet",Health Care & Wellness,health,Series B,3240000.0,Bengaluru,Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,2018,,,
Ambee,"Health Care, Medical Device, Public Safety",Health Care & Wellness,health,Angel,0.0,Bangalore,Ambee is an Environment analytics startup.,2018,,,
FoodBuddy,"Food Delivery, Online Portals, Restaurants",food,food,Seed,876000.0,Belgaum,"FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",2018,,,
Ninjacart,"AgTech, B2B, Supply Chain Management",Agritech,agriculture,Series B,36500000.0,Bengaluru,Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,2018,,,
Olly Smart Credit Card,"Credit Cards, Finance, Mobile Apps, Mobile Payments, Payments",Fintech,finance,Seed,0.0,New Delhi,Olly is a digital credit card for India's working masses and young people.,2018,,,
Zestl,Software,Technology,technology,Seed,0.0,Pune,"No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in.",2018,,,
BYJU’S,"EdTech, Education, Higher Education, Secondary Education",Edtech,education,Private Equity,540000000.0,Bangalore,BYJU’s is an edtech company that is reinventing how students learn through its learning app.,2018,,,
Wakefit,"Manufacturing, Retail",Manufacturing,manufacturing,Venture - Series Unknown,9490000.0,Bangalore,Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,2018,,,
Hero Electric,Manufacturing,Manufacturing,manufacturing,Venture - Series Unknown,23360000.0,New Delhi,"Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",2018,,,
Pentation Analytics,"Information Services, Information Technology, InsurTech",Technology,technology,Seed,0.0,Mumbai,Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,2018,,,
PerkFinance,"Consumer Lending, FinTech",Fintech,finance,Seed,900000.0,Bangalore,PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,2018,,,
Roposo,"Internet, Social Network, TV",Technology,technology,Series C,10000000.0,Gurgaon,Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,2018,,,
Plum Goodness,"Beauty, Health Care",Health Care & Wellness,health,Series A,0.0,Thane,Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,2018,,,
Drstore,Hospital,Health Care & Wellness,health,Seed,0.0,Mumbai,Drstore is a exclusive e- commerce platform.,2018,,,
Wow Venue,Events,Events,business,Venture - Series Unknown,1500000.0,Mumbai,Wow Venue is an online platform.,2018,,,
Chizel,"3D Printing, Manufacturing, Product Design",Manufacturing,manufacturing,Seed,0.0,Pune,Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,2018,,,
OTO Capital,Automotive,Transportation,transport,Seed,730000.0,Mumbai,OTO Capital is a platform that allows you to own a car faster than ever.,2018,,,
Boodmo,"Automotive, Retail",Business,business,Seed,1022000.0,Gurgaon,boodmo.com - large online marketplace for auto parts in India.,2018,,,
Khabri,"Apps, Audio",Technology,technology,Seed,0.0,Haryana,Khabri is a digital audio platform for content in vernacular.,2018,,,
MyNewCar.in,"Automotive, E-Commerce",E-Commerce,business,Venture - Series Unknown,1000000.0,Gurgaon,MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,2018,,,
HalaPlay Technologies,"Digital Entertainment, Fantasy Sports, Sports",Sports & Fitness,sports,Series A,5000000.0,Bangalore,A daily fantasy sports platform.,2018,,,
PlanetSpark,"E-Learning, EdTech, Education",Edtech,education,Seed,233600.0,Gurgaon,PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,2018,,,
WheelsEMI,Manufacturing,Manufacturing,manufacturing,Series B,14000000.0,Pune,"WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",2018,,,
Forum for Innovation Incubation Research and Entrepreneurship,"Funding Platform, Incubators, Non Profit",Business,business,Grant,1496500.0,Margão,"FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",2018,,,
OYO,"Hospitality, Hotel, Leisure, Travel","Travel, Tourism & Hospitality",hospitality,Series E,100000000.0,Gurgaon,OYO is an Indian hospitality startup that operates a network of budget hotels.,2018,,,
Quikr,"Classifieds, Internet, Marketplace, Rental Property",Adtech,business,Debt Financing,8030000.0,Bangalore,"Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",2018,,,
Tabono,Sports,Sports & Fitness,sports,Seed,0.0,Gurgaon,Tabono is a one stop environment for all your fitness solution.,2018,,,
LearnApp,"Banking, E-Learning, Trading Platform",Finance,finance,Seed,292000.0,Noida,"Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",2018,,,
Shopkirana,"E-Commerce, Mobile, Retail",E-Commerce,business,Venture - Series Unknown,2000000.0,Indore,Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,2018,,,
Fric Bergen,Food,food,food,Venture - Series Unknown,0.0,Alwar,Fric Bergen is a leader in the specialty food industry.,2018,,,
Articbot,"Artificial Intelligence, Information Technology",Technology,technology,Grant,17520.0,Kannur,Articbot is a conversational AI platform for automated customer support and lead generation,2018,,,
BuildSupply,"Enterprise Resource Planning (ERP), Information Services, Information Technology, Real Estate",Building and real estate,building & real estate,Series A,3650000.0,Gurgaon,India’s most advanced ERP system for the real estate,2018,,,
Fusion Microfinance,"Banking, Finance, Financial Services",Finance,finance,Series E,75920000.0,New Delhi,Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,2018,,,
Any time Doctor,Software,Technology,technology,Angel,0.0,Chennai,Anytime Doctor is a Software company.,2018,,,
Go Payments,"Information Services, Information Technology",Technology,technology,Corporate Round,0.0,Mumbai,Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,2018,,,
Guiddoo World,"Audio, Mobile, Tourism, Travel","Travel, Tourism & Hospitality",hospitality,Seed,800000.0,Mumbai,We build In-Destination Experiences!,2018,,,
ION Energy,"Energy, Energy Storage, Infrastructure",Energy,Energy,Venture - Series Unknown,1041000.0,Mumbai,A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,2018,,,
UnoTag,Artificial Intelligence,AI,technology,Pre-Seed,100000.0,Bangalore,SaaS to verify counterfeit,2018,,,
CivilCops,"Government, Information Technology, Software",Government,Government,Pre-Seed,100000.0,Gurgaon,Gov-Tech,2018,,,
Rockmetric,Information Technology,Technology,technology,Grant,0.0,Mumbai,"Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement.",2018,,,
Classworks India,"Education, Information Technology, Internet, Mobile, Software",Edtech,education,Undisclosed,1460.0,Chennai,"Saas, Web App, Mobile App, School Education",2018,,,
Snapmint,"Consumer Lending, Financial Services, Lending, Personal Finance",Finance,finance,Seed,0.0,Mumbai,"Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card.",2018,,,
artbandhu,"Digital Media, Internet, Media and Entertainment, Online Portals, Social Media",Media Technology,business,Pre-Seed,15000.0,Bangalore,Ai platform for Art and Creative Community,2018,,,
